

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   119.00000 -0.241232E+01  0.226030E+00 -0.241231E+01  0.228041E+00 -0.519557E+01  -1664.373  -1655.690  -1651.088     119
   120.00000 -0.241232E+01  0.226030E+00 -0.241231E+01  0.228084E+00 -0.519743E+01  -1667.813  -1659.349  -1654.974     120
   121.00000 -0.241232E+01  0.226030E+00 -0.241231E+01  0.228126E+00 -0.519926E+01  -1671.676  -1663.160  -1658.799     121
   121.50000 -0.361775E+01  0.226030E+00 -0.361773E+01  0.230651E+00 -0.520340E+01   -323.009   -475.327   -646.310     122
   123.00000 -0.361775E+01  0.226030E+00 -0.361772E+01  0.230821E+00 -0.532580E+01   -525.188   -516.964   -512.796     123
   124.00000 -0.361775E+01  0.226030E+00 -0.361772E+01  0.230866E+00 -0.539201E+01   -556.632   -548.429   -544.277     124
   125.00000 -0.361775E+01  0.226654E+00 -0.361773E+01  0.231490E+00 -0.544798E+01   -583.472   -575.262   -571.098     125
   126.00000 -0.361775E+01  0.227193E+00 -0.361773E+01  0.232028E+00 -0.549359E+01   -605.501   -597.235   -593.038     126
   127.00000 -0.361775E+01  0.227677E+00 -0.361773E+01  0.232513E+00 -0.553415E+01   -632.730   -624.334   -620.002     127
   128.00000 -0.361775E+01  0.229168E+00 -0.361775E+01  0.234003E+00 -0.557120E+01   -657.142   -648.865   -644.651     128
   129.00000 -0.361775E+01  0.232076E+00 -0.361777E+01  0.236912E+00 -0.560511E+01   -681.000   -672.671   -668.403     129
   130.00000 -0.361775E+01  0.236565E+00 -0.361781E+01  0.241401E+00 -0.563601E+01   -703.628   -695.211   -690.853     130
   131.00000 -0.361775E+01  0.242881E+00 -0.361784E+01  0.247716E+00 -0.566401E+01   -725.522   -716.979   -712.491     131
   132.00000 -0.361775E+01  0.250183E+00 -0.361786E+01  0.255019E+00 -0.568921E+01   -746.777   -738.061   -733.397     132
