

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    70.00000 -0.241232E+01  0.136455E+00 -0.241299E+01  0.134790E+00 -0.665254E+01  -1989.032  -1980.666  -1976.318      70
    71.00000 -0.241232E+01  0.136601E+00 -0.241299E+01  0.134926E+00 -0.665862E+01  -2002.454  -1994.059  -1989.681      71
    72.00000 -0.241232E+01  0.137296E+00 -0.241300E+01  0.135566E+00 -0.666453E+01  -2014.472  -2006.179  -2001.906      72
    73.00000 -0.241232E+01  0.138438E+00 -0.241300E+01  0.136616E+00 -0.667027E+01  -2027.759  -2019.322  -2014.902      73
    74.00000 -0.241232E+01  0.139451E+00 -0.241301E+01  0.137546E+00 -0.667583E+01  -2041.201  -2032.621  -2028.052      74
    75.00000 -0.241232E+01  0.140192E+00 -0.241300E+01  0.138225E+00 -0.668122E+01  -2053.915  -2045.335  -2040.767      75
    76.00000 -0.241232E+01  0.140563E+00 -0.241299E+01  0.138564E+00 -0.668644E+01  -2065.778  -2057.267  -2052.769      76
    77.00000 -0.241232E+01  0.140983E+00 -0.241299E+01  0.138947E+00 -0.669152E+01  -2076.597  -2068.206  -2063.829      77
    78.00000 -0.241232E+01  0.141590E+00 -0.241298E+01  0.139499E+00 -0.669645E+01  -2087.438  -2079.048  -2074.675      78
    79.00000 -0.241232E+01  0.143439E+00 -0.241298E+01  0.141181E+00 -0.670123E+01  -2098.302  -2089.858  -2085.427      79
    80.00000 -0.241232E+01  0.145824E+00 -0.241298E+01  0.143343E+00 -0.670585E+01  -2111.686  -2102.819  -2097.954      80
    81.00000 -0.241232E+01  0.149606E+00 -0.241298E+01  0.146765E+00 -0.671029E+01  -2125.139  -2116.005  -2110.864      81
    82.00000 -0.241232E+01  0.154379E+00 -0.241298E+01  0.151073E+00 -0.671452E+01  -2141.449  -2131.721  -2125.972      82
    83.00000 -0.241232E+01  0.159972E+00 -0.241299E+01  0.156105E+00 -0.671854E+01  -2158.967  -2148.602  -2142.250      83
    84.00000 -0.241232E+01  0.166223E+00 -0.241299E+01  0.161706E+00 -0.672235E+01  -2184.529  -2173.040  -2165.514      84
    85.00000 -0.241232E+01  0.173212E+00 -0.241300E+01  0.167937E+00 -0.672605E+01  -2213.696  -2202.333  -2194.909      85
    86.00000 -0.241232E+01  0.180795E+00 -0.241300E+01  0.174660E+00 -0.672963E+01  -2244.940  -2233.160  -2225.303      86
    87.00000 -0.241232E+01  0.187904E+00 -0.241301E+01  0.180928E+00 -0.673308E+01  -2277.424  -2265.261  -2257.010      87
    88.00000 -0.241232E+01  0.194259E+00 -0.241301E+01  0.186502E+00 -0.673642E+01  -2307.491  -2295.365  -2287.152      88
    89.00000 -0.241232E+01  0.200068E+00 -0.241301E+01  0.191573E+00 -0.673964E+01  -2334.952  -2323.073  -2315.117      89
    90.00000 -0.241232E+01  0.205013E+00 -0.241301E+01  0.195869E+00 -0.674277E+01  -2360.594  -2348.937  -2341.209      90
    91.00000 -0.241232E+01  0.208562E+00 -0.241301E+01  0.198940E+00 -0.674580E+01  -2383.228  -2371.964  -2364.637      91
    92.00000 -0.241232E+01  0.211135E+00 -0.241301E+01  0.201159E+00 -0.674875E+01  -2401.417  -2390.847  -2384.237      92
    93.00000 -0.241232E+01  0.211678E+00 -0.241301E+01  0.201626E+00 -0.675164E+01  -2417.053  -2407.057  -2401.038      93
    94.00000 -0.241232E+01  0.211678E+00 -0.241300E+01  0.201626E+00 -0.675449E+01  -2426.084  -2417.208  -2412.340      94
    95.00000 -0.241232E+01  0.211678E+00 -0.241300E+01  0.201626E+00 -0.675730E+01  -2434.887  -2426.476  -2422.087      95
    96.00000 -0.241232E+01  0.211678E+00 -0.241300E+01  0.201626E+00 -0.676008E+01  -2443.538  -2435.263  -2431.013      96
    97.00000 -0.241232E+01  0.211678E+00 -0.241299E+01  0.201626E+00 -0.676282E+01  -2452.190  -2443.944  -2439.723      97
    98.00000 -0.241232E+01  0.211678E+00 -0.241299E+01  0.201626E+00 -0.676553E+01  -2460.729  -2452.486  -2448.270      98
    99.00000 -0.241232E+01  0.211678E+00 -0.241299E+01  0.201626E+00 -0.676820E+01  -2469.176  -2460.932  -2456.715      99
   100.00000 -0.241232E+01  0.211678E+00 -0.241298E+01  0.201626E+00 -0.677085E+01  -2477.515  -2469.271  -2465.054     100
   101.00000 -0.241232E+01  0.211938E+00 -0.241298E+01  0.201847E+00 -0.677346E+01  -2485.755  -2477.511  -2473.294     101
   102.00000 -0.241232E+01  0.212187E+00 -0.241298E+01  0.202058E+00 -0.677604E+01  -2494.793  -2486.412  -2482.052     102
   103.00000 -0.241232E+01  0.212672E+00 -0.241297E+01  0.202469E+00 -0.677859E+01  -2503.417  -2495.017  -2490.639     103
   104.00000 -0.241232E+01  0.214320E+00 -0.241297E+01  0.203861E+00 -0.678110E+01  -2512.863  -2504.322  -2499.796     104
   105.00000 -0.241232E+01  0.217730E+00 -0.241298E+01  0.206737E+00 -0.678356E+01  -2525.927  -2516.724  -2511.516     105
   106.00000 -0.241232E+01  0.222802E+00 -0.241298E+01  0.211001E+00 -0.678597E+01  -2543.857  -2533.525  -2527.158     106
   107.00000 -0.241232E+01  0.229501E+00 -0.241299E+01  0.216609E+00 -0.678830E+01  -2565.892  -2554.308  -2546.656     107
   108.00000 -0.241232E+01  0.237902E+00 -0.241299E+01  0.223611E+00 -0.679054E+01  -2592.033  -2579.086  -2570.041     108
   109.00000 -0.241232E+01  0.247240E+00 -0.241299E+01  0.231351E+00 -0.679267E+01  -2622.425  -2607.931  -2597.307     109
   110.00000 -0.241232E+01  0.257119E+00 -0.241300E+01  0.239492E+00 -0.679469E+01  -2654.227  -2638.489  -2626.605     110
   111.00000 -0.241232E+01  0.266669E+00 -0.241299E+01  0.247315E+00 -0.679659E+01  -2686.893  -2670.104  -2657.159     111
   112.00000 -0.241232E+01  0.275153E+00 -0.241299E+01  0.254225E+00 -0.679837E+01  -2717.386  -2700.146  -2686.757     112
   113.00000 -0.241232E+01  0.281513E+00 -0.241298E+01  0.259379E+00 -0.680005E+01  -2744.097  -2727.088  -2713.938     113
   114.00000 -0.241232E+01  0.285889E+00 -0.241298E+01  0.262912E+00 -0.680164E+01  -2763.776  -2748.095  -2736.295     114
   115.00000 -0.241232E+01  0.288719E+00 -0.241297E+01  0.265190E+00 -0.680316E+01  -2778.114  -2764.113  -2754.016     115
   116.00000 -0.241232E+01  0.290259E+00 -0.241297E+01  0.266427E+00 -0.680463E+01  -2788.967  -2776.288  -2767.681     116
   117.00000 -0.241232E+01  0.290259E+00 -0.241296E+01  0.266427E+00 -0.680606E+01  -2797.897  -2786.230  -2778.584     117
   118.00000 -0.241232E+01  0.290259E+00 -0.241296E+01  0.266427E+00 -0.680746E+01  -2802.000  -2792.705  -2787.323     118
   119.00000 -0.241232E+01  0.290259E+00 -0.241296E+01  0.266427E+00 -0.680886E+01  -2808.294  -2799.694  -2795.110     119
   120.00000 -0.241232E+01  0.290259E+00 -0.241296E+01  0.266427E+00 -0.681025E+01  -2814.862  -2806.537  -2802.236     120
   121.00000 -0.241232E+01  0.290259E+00 -0.241296E+01  0.266427E+00 -0.681163E+01  -2821.635  -2813.365  -2809.125     121
   121.50000 -0.361775E+01  0.290259E+00 -0.361839E+01  0.266427E+00 -0.681979E+01   -775.116   -930.187  -1058.145     122
   123.00000 -0.361775E+01  0.290259E+00 -0.361842E+01  0.266427E+00 -0.695093E+01  -1014.247  -1005.663  -1001.143     123
   124.00000 -0.361775E+01  0.290259E+00 -0.361845E+01  0.266427E+00 -0.701739E+01  -1070.748  -1062.508  -1058.289     124
   125.00000 -0.361775E+01  0.291053E+00 -0.361847E+01  0.267220E+00 -0.707569E+01  -1121.216  -1112.965  -1108.734     125
   126.00000 -0.361775E+01  0.291738E+00 -0.361849E+01  0.267905E+00 -0.712537E+01  -1164.030  -1155.780  -1151.546     126
   127.00000 -0.361775E+01  0.292354E+00 -0.361851E+01  0.268521E+00 -0.716912E+01  -1202.343  -1194.099  -1189.870     127
   128.00000 -0.361775E+01  0.294248E+00 -0.361852E+01  0.270416E+00 -0.720767E+01  -1235.963  -1227.726  -1223.502     128
   129.00000 -0.361775E+01  0.297945E+00 -0.361854E+01  0.274112E+00 -0.724145E+01  -1266.876  -1258.572  -1254.274     129
   130.00000 -0.361775E+01  0.303648E+00 -0.361856E+01  0.279816E+00 -0.727078E+01  -1295.556  -1287.096  -1282.651     130
   131.00000 -0.361775E+01  0.311672E+00 -0.361859E+01  0.287840E+00 -0.729737E+01  -1336.575  -1327.737  -1322.919     131
   132.00000 -0.361775E+01  0.320948E+00 -0.361858E+01  0.297116E+00 -0.732189E+01  -1378.809  -1369.908  -1365.012     132
   133.00000 -0.361775E+01  0.331004E+00 -0.361856E+01  0.307171E+00 -0.734446E+01  -1420.559  -1411.488  -1406.417     133
   134.00000 -0.361775E+01  0.341063E+00 -0.361855E+01  0.317231E+00 -0.736517E+01  -1460.938  -1451.720  -1446.496     134
   135.00000 -0.361775E+01  0.350466E+00 -0.361854E+01  0.326633E+00 -0.738411E+01  -1498.933  -1489.619  -1484.296     135
   136.00000 -0.361775E+01  0.358989E+00 -0.361853E+01  0.335121E+00 -0.740144E+01  -1533.905  -1524.563  -1519.211     136
   137.00000 -0.361775E+01  0.365320E+00 -0.361852E+01  0.341395E+00 -0.741729E+01  -1565.757  -1556.429  -1551.091     137
   138.00000 -0.361775E+01  0.369012E+00 -0.361850E+01  0.345038E+00 -0.743187E+01  -1592.716  -1583.587  -1578.452     138
   139.00000 -0.361775E+01  0.370134E+00 -0.361850E+01  0.346141E+00 -0.744540E+01  -1614.909  -1606.096  -1601.282     139
   140.00000 -0.361775E+01  0.370134E+00 -0.361851E+01  0.346141E+00 -0.745807E+01  -1632.626  -1624.181  -1619.745     140
   141.00000 -0.361775E+01  0.370134E+00 -0.361851E+01  0.346141E+00 -0.747001E+01  -1648.268  -1640.026  -1635.797     141
   142.00000 -0.361775E+01  0.370134E+00 -0.361852E+01  0.346141E+00 -0.748125E+01  -1663.076  -1654.868  -1650.672     142
   143.00000 -0.361775E+01  0.370134E+00 -0.361852E+01  0.346141E+00 -0.749181E+01  -1678.062  -1669.601  -1665.225     143
   144.00000 -0.361775E+01  0.370134E+00 -0.361853E+01  0.346141E+00 -0.750202E+01  -1698.334  -1689.999  -1685.668     144
   145.00000 -0.361775E+01  0.370134E+00 -0.361853E+01  0.346141E+00 -0.751194E+01  -1718.116  -1709.858  -1705.625     145
   146.00000 -0.361775E+01  0.370134E+00 -0.361853E+01  0.346141E+00 -0.752159E+01  -1737.656  -1729.408  -1725.187     146
   147.00000 -0.361775E+01  0.370134E+00 -0.361854E+01  0.346141E+00 -0.753099E+01  -1756.661  -1748.417  -1744.199     147
   148.00000 -0.361775E+01  0.370134E+00 -0.361854E+01  0.346141E+00 -0.754014E+01  -1775.176  -1766.932  -1762.715     148
   149.00000 -0.361775E+01  0.370556E+00 -0.361855E+01  0.346544E+00 -0.754904E+01  -1793.196  -1784.952  -1780.735     149
   150.00000 -0.361775E+01  0.370943E+00 -0.361855E+01  0.346913E+00 -0.755770E+01  -1811.680  -1803.353  -1799.049     150
   151.00000 -0.361775E+01  0.371567E+00 -0.361856E+01  0.347506E+00 -0.756611E+01  -1829.391  -1821.062  -1816.756     151
   152.00000 -0.361775E+01  0.372909E+00 -0.361856E+01  0.348778E+00 -0.757429E+01  -1847.256  -1838.872  -1834.510     152
   153.00000 -0.361775E+01  0.375198E+00 -0.361857E+01  0.350940E+00 -0.758222E+01  -1866.108  -1857.562  -1853.033     153
   154.00000 -0.361775E+01  0.378847E+00 -0.361858E+01  0.354376E+00 -0.758988E+01  -1886.271  -1877.490  -1872.718     154
   155.00000 -0.361775E+01  0.385070E+00 -0.361858E+01  0.360214E+00 -0.759725E+01  -1908.590  -1899.452  -1894.312     155
   156.00000 -0.361775E+01  0.392931E+00 -0.361858E+01  0.367557E+00 -0.760428E+01  -1935.563  -1925.733  -1919.881     156
   157.00000 -0.361775E+01  0.401126E+00 -0.361859E+01  0.375177E+00 -0.761094E+01  -1964.262  -1953.863  -1947.428     157
   158.00000 -0.361775E+01  0.409962E+00 -0.361859E+01  0.383353E+00 -0.761722E+01  -1992.487  -1981.804  -1975.078     158
   159.00000 -0.361775E+01  0.417399E+00 -0.361859E+01  0.390203E+00 -0.762311E+01  -2021.413  -2010.378  -2003.291     159
   160.00000 -0.361775E+01  0.424147E+00 -0.361859E+01  0.396392E+00 -0.762867E+01  -2045.845  -2035.029  -2028.168     160
   161.00000 -0.361775E+01  0.431406E+00 -0.361860E+01  0.403025E+00 -0.763390E+01  -2069.144  -2058.431  -2051.675     161
   162.00000 -0.361775E+01  0.434915E+00 -0.361859E+01  0.406217E+00 -0.763883E+01  -2092.931  -2081.971  -2074.962     162
   163.00000 -0.361775E+01  0.437013E+00 -0.361859E+01  0.408122E+00 -0.764353E+01  -2106.995  -2097.128  -2091.237     163
   164.00000 -0.361775E+01  0.437175E+00 -0.361858E+01  0.408269E+00 -0.764805E+01  -2120.065  -2110.768  -2105.461     164
   165.00000 -0.361775E+01  0.437175E+00 -0.361857E+01  0.408269E+00 -0.765243E+01  -2128.123  -2119.629  -2115.146     165
   166.00000 -0.361775E+01  0.437175E+00 -0.361857E+01  0.408269E+00 -0.765669E+01  -2136.998  -2128.700  -2124.418     166
   167.00000 -0.361775E+01  0.437175E+00 -0.361856E+01  0.408269E+00 -0.766083E+01  -2145.225  -2137.001  -2132.793     167
   168.00000 -0.361775E+01  0.437175E+00 -0.361856E+01  0.408269E+00 -0.766486E+01  -2153.440  -2145.225  -2141.026     168
   169.00000 -0.361775E+01  0.437175E+00 -0.361855E+01  0.408269E+00 -0.766878E+01  -2162.146  -2153.659  -2149.287     169
   170.00000 -0.361775E+01  0.437175E+00 -0.361855E+01  0.408269E+00 -0.767262E+01  -2173.121  -2164.584  -2160.047     170
   171.00000 -0.361775E+01  0.437175E+00 -0.361855E+01  0.408269E+00 -0.767640E+01  -2184.772  -2176.474  -2172.202     171
   172.00000 -0.361775E+01  0.437175E+00 -0.361854E+01  0.408269E+00 -0.768014E+01  -2196.487  -2188.219  -2183.979     172
   173.00000 -0.361775E+01  0.437949E+00 -0.361854E+01  0.408960E+00 -0.768383E+01  -2208.111  -2199.861  -2195.639     173
   174.00000 -0.361775E+01  0.438504E+00 -0.361853E+01  0.409453E+00 -0.768747E+01  -2222.188  -2213.612  -2209.054     174
   175.00000 -0.361775E+01  0.439310E+00 -0.361853E+01  0.410169E+00 -0.769106E+01  -2234.891  -2226.362  -2221.853     175
